TITLE	GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	09:12:05
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    18.97298
MAXY	    27.22773
MINY	    -0.06761
XYDATA
2500.0000	18.973
2499.0000	19.0355
2498.0000	19.051
2497.0000	18.9991
2496.0000	18.9885
2495.0000	19.0362
2494.0000	19.1393
2493.0000	19.1336
2492.0000	19.1527
2491.0000	19.2312
2490.0000	19.2759
2489.0000	19.2941
2488.0000	19.3033
2487.0000	19.3501
2486.0000	19.4332
2485.0000	19.4518
2484.0000	19.4788
2483.0000	19.5495
2482.0000	19.6123
2481.0000	19.6591
2480.0000	19.6795
2479.0000	19.7805
2478.0000	19.8306
2477.0000	19.7906
2476.0000	19.7729
2475.0000	19.7537
2474.0000	19.7648
2473.0000	19.728
2472.0000	19.7102
2471.0000	19.7935
2470.0000	19.854
2469.0000	19.9175
2468.0000	19.9126
2467.0000	19.9252
2466.0000	19.9539
2465.0000	19.9248
2464.0000	19.8947
2463.0000	19.9175
2462.0000	19.9305
2461.0000	19.8981
2460.0000	19.8958
2459.0000	19.8713
2458.0000	19.8785
2457.0000	19.8603
2456.0000	19.8954
2455.0000	19.85
2454.0000	19.893
2453.0000	19.8305
2452.0000	19.8879
2451.0000	19.8813
2450.0000	19.8176
2449.0000	19.8102
2448.0000	19.776
2447.0000	19.7971
2446.0000	19.8005
2445.0000	19.79
2444.0000	19.7804
2443.0000	19.815
2442.0000	19.7998
2441.0000	19.753
2440.0000	19.665
2439.0000	19.6035
2438.0000	19.558
2437.0000	19.5022
2436.0000	19.4791
2435.0000	19.4739
2434.0000	19.4578
2433.0000	19.4565
2432.0000	19.5165
2431.0000	19.4925
2430.0000	19.4269
2429.0000	19.4006
2428.0000	19.3589
2427.0000	19.3532
2426.0000	19.2708
2425.0000	19.2397
2424.0000	19.2095
2423.0000	19.1632
2422.0000	19.098
2421.0000	19.0778
2420.0000	19.0778
2419.0000	18.9908
2418.0000	18.9518
2417.0000	18.9106
2416.0000	18.9259
2415.0000	18.8598
2414.0000	18.8365
2413.0000	18.8398
2412.0000	18.8218
2411.0000	18.7865
2410.0000	18.7023
2409.0000	18.6693
2408.0000	18.6026
2407.0000	18.5268
2406.0000	18.5244
2405.0000	18.5053
2404.0000	18.5173
2403.0000	18.5204
2402.0000	18.4936
2401.0000	18.5052
2400.0000	18.4843
2399.0000	18.4414
2398.0000	18.391
2397.0000	18.3504
2396.0000	18.3226
2395.0000	18.293
2394.0000	18.2647
2393.0000	18.2129
2392.0000	18.1896
2391.0000	18.1719
2390.0000	18.1569
2389.0000	18.1266
