TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:29:49
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    84.75620
MAXY	    86.10127
MINY	     0.00604
XYDATA
2500.0000	84.7562
2499.0000	84.6906
2498.0000	84.761
2497.0000	84.7932
2496.0000	84.8909
2495.0000	84.9304
2494.0000	84.9584
2493.0000	85.0732
2492.0000	85.2254
2491.0000	85.3176
2490.0000	85.404
2489.0000	85.3825
2488.0000	85.4385
2487.0000	85.4236
2486.0000	85.4501
2485.0000	85.543
2484.0000	85.419
2483.0000	85.4501
2482.0000	85.4161
2481.0000	85.3586
2480.0000	85.2581
2479.0000	85.1245
2478.0000	85.1261
2477.0000	85.2087
2476.0000	85.1505
2475.0000	85.2031
2474.0000	85.2024
2473.0000	85.1921
2472.0000	85.1009
2471.0000	85.006
2470.0000	84.8446
2469.0000	84.819
2468.0000	84.6776
2467.0000	84.4602
2466.0000	84.3657
2465.0000	84.3017
2464.0000	84.1987
2463.0000	84.0899
2462.0000	84.0304
2461.0000	83.9566
2460.0000	83.9058
2459.0000	83.7391
2458.0000	83.5978
2457.0000	83.4401
2456.0000	83.2604
2455.0000	83.0641
2454.0000	82.832
2453.0000	82.6861
2452.0000	82.5564
2451.0000	82.4498
2450.0000	82.239
2449.0000	82.1427
2448.0000	81.9537
2447.0000	81.8645
2446.0000	81.7485
2445.0000	81.5421
2444.0000	81.4116
2443.0000	81.2269
2442.0000	81.0965
2441.0000	80.8535
2440.0000	80.664
2439.0000	80.4337
2438.0000	80.2489
2437.0000	80.0405
2436.0000	79.8415
2435.0000	79.6068
2434.0000	79.4075
2433.0000	79.3242
2432.0000	79.2049
2431.0000	79.0213
2430.0000	78.8864
2429.0000	78.7849
2428.0000	78.6242
2427.0000	78.4177
2426.0000	78.1762
2425.0000	78.0156
2424.0000	77.8366
2423.0000	77.6078
2422.0000	77.4551
2421.0000	77.2777
2420.0000	77.1081
2419.0000	76.9005
2418.0000	76.7191
2417.0000	76.5857
2416.0000	76.3953
2415.0000	76.2166
2414.0000	76.0908
2413.0000	75.9994
2412.0000	75.8094
2411.0000	75.7001
2410.0000	75.6034
2409.0000	75.4136
2408.0000	75.2245
2407.0000	75.107
2406.0000	74.9914
2405.0000	74.8688
2404.0000	74.6821
2403.0000	74.5705
2402.0000	74.5019
2401.0000	74.3811
2400.0000	74.2218
2399.0000	74.0535
2398.0000	73.9656
2397.0000	73.7893
2396.0000	73.7223
2395.0000	73.649
2394.0000	73.5486
2393.0000	73.4541
2392.0000	73.4018
2391.0000	73.4226
2390.0000	73.2337
