TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:37:34
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    82.83801
MAXY	    85.64866
MINY	     0.00509
XYDATA
2500.0000	82.838
2499.0000	82.9506
2498.0000	83.0096
2497.0000	83.0963
2496.0000	83.1928
2495.0000	83.3017
2494.0000	83.4492
2493.0000	83.5688
2492.0000	83.7906
2491.0000	83.8345
2490.0000	84.0157
2489.0000	84.0154
2488.0000	84.1077
2487.0000	84.1561
2486.0000	84.2366
2485.0000	84.3858
2484.0000	84.4007
2483.0000	84.5084
2482.0000	84.634
2481.0000	84.627
2480.0000	84.6706
2479.0000	84.7076
2478.0000	84.7803
2477.0000	84.7901
2476.0000	84.7385
2475.0000	84.7057
2474.0000	84.7446
2473.0000	84.721
2472.0000	84.7424
2471.0000	84.7498
2470.0000	84.7243
2469.0000	84.7845
2468.0000	84.7231
2467.0000	84.7279
2466.0000	84.6849
2465.0000	84.7163
2464.0000	84.651
2463.0000	84.6164
2462.0000	84.6032
2461.0000	84.5724
2460.0000	84.4816
2459.0000	84.3794
2458.0000	84.2889
2457.0000	84.2002
2456.0000	84.0376
2455.0000	83.9587
2454.0000	83.898
2453.0000	83.8258
2452.0000	83.6327
2451.0000	83.5444
2450.0000	83.4636
2449.0000	83.3976
2448.0000	83.1802
2447.0000	83.0519
2446.0000	82.9964
2445.0000	82.8873
2444.0000	82.776
2443.0000	82.6666
2442.0000	82.6835
2441.0000	82.468
2440.0000	82.2663
2439.0000	82.1486
2438.0000	81.9205
2437.0000	81.7334
2436.0000	81.4407
2435.0000	81.2177
2434.0000	81.1568
2433.0000	80.8562
2432.0000	80.6729
2431.0000	80.5463
2430.0000	80.3324
2429.0000	80.1888
2428.0000	79.9817
2427.0000	79.85
2426.0000	79.7517
2425.0000	79.4671
2424.0000	79.2735
2423.0000	79.0993
2422.0000	78.9007
2421.0000	78.6695
2420.0000	78.4964
2419.0000	78.3435
2418.0000	78.2014
2417.0000	78.0201
2416.0000	77.7967
2415.0000	77.6606
2414.0000	77.452
2413.0000	77.211
2412.0000	77.0813
2411.0000	76.9235
2410.0000	76.7007
2409.0000	76.4438
2408.0000	76.3284
2407.0000	76.1682
2406.0000	75.9588
2405.0000	75.8003
2404.0000	75.5847
2403.0000	75.4726
2402.0000	75.3179
2401.0000	75.1916
2400.0000	75.0302
2399.0000	74.8647
2398.0000	74.7088
2397.0000	74.5214
2396.0000	74.4646
2395.0000	74.2202
2394.0000	74.0582
2393.0000	73.9337
2392.0000	73.8788
2391.0000	73.6886
2390.0000	73.4936
