TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/12/06
TIME	15:18:42
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  350.0000
NPOINTS	    4301
FIRSTY	    85.58065
MAXY	    87.85333
MINY	     0.04718
XYDATA
2500.0000	85.5807
2499.5000	83.1591
2499.0000	80.1678
2498.5000	79.2963
2498.0000	80.9664
2497.5000	84.0189
2497.0000	86.2913
2496.5000	86.7196
2496.0000	84.866
2495.5000	82.1323
2495.0000	79.6606
2494.5000	79.1476
2494.0000	80.4644
2493.5000	83.5504
2493.0000	85.858
2492.5000	86.4819
2492.0000	84.59
2491.5000	81.2856
2491.0000	78.421
2490.5000	78.0853
2490.0000	79.5722
2489.5000	82.7327
2489.0000	85.0402
2488.5000	85.63
2488.0000	83.8096
2487.5000	81.1323
2487.0000	78.5015
2486.5000	77.7717
2486.0000	79.1998
2485.5000	82.1745
2485.0000	85.0694
2484.5000	85.4186
2484.0000	83.5399
2483.5000	80.3146
2483.0000	77.4636
2482.5000	76.7076
2482.0000	78.4275
2481.5000	81.7544
2481.0000	84.1866
2480.5000	85.3615
2480.0000	82.8399
2479.5000	79.5568
2479.0000	76.3911
2478.5000	76.1801
2478.0000	77.7242
2477.5000	80.948
2477.0000	83.5855
2476.5000	84.0763
2476.0000	81.963
2475.5000	78.9318
2475.0000	75.6708
2474.5000	75.1966
2474.0000	76.5352
2473.5000	80.2327
2473.0000	82.8162
2472.5000	83.6024
2472.0000	81.5549
2471.5000	78.0375
2471.0000	74.9344
2470.5000	73.9509
2470.0000	76.3654
2469.5000	79.6024
2469.0000	82.8876
2468.5000	82.9751
2468.0000	81.2957
2467.5000	77.4345
2467.0000	74.0746
2466.5000	73.1677
2466.0000	74.8693
2465.5000	78.4133
2465.0000	81.2378
2464.5000	81.7863
2464.0000	80.0474
2463.5000	76.7776
2463.0000	73.7108
2462.5000	72.8426
2462.0000	74.6038
2461.5000	78.4636
2461.0000	81.2984
2460.5000	81.6832
2460.0000	79.1984
2459.5000	75.4828
2459.0000	72.5716
2458.5000	72.3714
2458.0000	74.6337
2457.5000	78.0663
2457.0000	80.8758
2456.5000	80.687
2456.0000	77.8145
2455.5000	74.369
2455.0000	71.8182
2454.5000	71.8918
2454.0000	74.5647
2453.5000	78.3383
2453.0000	80.6394
2452.5000	79.5415
2452.0000	76.3355
2451.5000	72.339
2451.0000	70.6244
2450.5000	71.8146
2450.0000	74.8555
2449.5000	78.3807
2449.0000	79.4694
2448.5000	78.0341
2448.0000	74.1748
2447.5000	70.9669
2447.0000	70.2513
2446.5000	72.3733
2446.0000	76.2115
2445.5000	78.9142
2445.0000	79.1893
