TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	09:47:16
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	  -500.00000
MAXY	  -500.00000
MINY	  -500.00000
XYDATA
2500.0000	-15348.4
2499.0000	-15345
2498.0000	-15372.3
2497.0000	-15384.4
2496.0000	-15369.4
2495.0000	-15384.3
2494.0000	-15422.3
2493.0000	-15448.2
2492.0000	-15491
2491.0000	-15530.6
2490.0000	-15548
2489.0000	-15568.5
2488.0000	-15528.2
2487.0000	-15524.2
2486.0000	-15568.1
2485.0000	-15589.5
2484.0000	-15643.9
2483.0000	-15744.3
2482.0000	-15761.7
2481.0000	-15778.6
2480.0000	-15856.2
2479.0000	-15903.6
2478.0000	-15937.4
2477.0000	-15906.8
2476.0000	-15906
2475.0000	-15919.1
2474.0000	-15896
2473.0000	-15883.3
2472.0000	-15872.9
2471.0000	-15885.7
2470.0000	-15948.2
2469.0000	-15992.9
2468.0000	-16025.8
2467.0000	-16083.4
2466.0000	-16092.5
2465.0000	-16090.7
2464.0000	-16092.4
2463.0000	-16105.1
2462.0000	-16141.5
2461.0000	-16143.1
2460.0000	-16161.3
2459.0000	-16181.4
2458.0000	-16224.5
2457.0000	-16254
2456.0000	-16282.7
2455.0000	-16301.3
2454.0000	-16301.9
2453.0000	-16335.5
2452.0000	-16317.6
2451.0000	-16330.5
2450.0000	-16326.8
2449.0000	-16305.8
2448.0000	-16323.8
2447.0000	-16313.4
2446.0000	-16343.5
2445.0000	-16397
2444.0000	-16446.6
2443.0000	-16492.8
2442.0000	-16530
2441.0000	-16552.3
2440.0000	-16569.6
2439.0000	-16570.4
2438.0000	-16575.4
2437.0000	-16611.5
2436.0000	-16623.2
2435.0000	-16645.7
2434.0000	-16703
2433.0000	-16721.4
2432.0000	-16779.5
2431.0000	-16806.5
2430.0000	-16848.9
2429.0000	-16882.4
2428.0000	-16864.4
2427.0000	-16878.6
2426.0000	-16908.4
2425.0000	-16935.2
2424.0000	-16933.1
2423.0000	-16948.2
2422.0000	-16957.8
2421.0000	-16957.1
2420.0000	-16961.9
2419.0000	-16948.9
2418.0000	-16955.5
2417.0000	-16971.6
2416.0000	-16994.6
2415.0000	-17023.5
2414.0000	-17047.4
2413.0000	-17082.9
2412.0000	-17114.3
2411.0000	-17128.6
2410.0000	-17132.6
2409.0000	-17155.7
2408.0000	-17158.2
2407.0000	-17178.6
2406.0000	-17164
2405.0000	-17169.6
2404.0000	-17164.1
2403.0000	-17178.5
2402.0000	-17179.9
2401.0000	-17204
2400.0000	-17211.4
2399.0000	-17226.2
2398.0000	-17241.3
