TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:21:01
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.74783
MAXY	   101.09960
MINY	    99.97169
XYDATA
2500.0000	100.748
2499.0000	100.657
2498.0000	100.611
2497.0000	100.548
2496.0000	100.526
2495.0000	100.562
2494.0000	100.504
2493.0000	100.469
2492.0000	100.51
2491.0000	100.523
2490.0000	100.568
2489.0000	100.485
2488.0000	100.531
2487.0000	100.536
2486.0000	100.616
2485.0000	100.698
2484.0000	100.624
2483.0000	100.784
2482.0000	100.82
2481.0000	100.692
2480.0000	100.64
2479.0000	100.589
2478.0000	100.54
2477.0000	100.521
2476.0000	100.417
2475.0000	100.494
2474.0000	100.522
2473.0000	100.447
2472.0000	100.526
2471.0000	100.485
2470.0000	100.493
2469.0000	100.459
2468.0000	100.398
2467.0000	100.399
2466.0000	100.389
2465.0000	100.479
2464.0000	100.45
2463.0000	100.481
2462.0000	100.563
2461.0000	100.693
2460.0000	100.617
2459.0000	100.57
2458.0000	100.591
2457.0000	100.593
2456.0000	100.484
2455.0000	100.396
2454.0000	100.421
2453.0000	100.45
2452.0000	100.484
2451.0000	100.452
2450.0000	100.458
2449.0000	100.543
2448.0000	100.528
2447.0000	100.605
2446.0000	100.615
2445.0000	100.626
2444.0000	100.737
2443.0000	100.732
2442.0000	100.743
2441.0000	100.701
2440.0000	100.627
2439.0000	100.621
2438.0000	100.57
2437.0000	100.558
2436.0000	100.523
2435.0000	100.529
2434.0000	100.473
2433.0000	100.495
2432.0000	100.529
2431.0000	100.485
2430.0000	100.431
2429.0000	100.442
2428.0000	100.508
2427.0000	100.506
2426.0000	100.482
2425.0000	100.463
2424.0000	100.487
2423.0000	100.471
2422.0000	100.41
2421.0000	100.412
2420.0000	100.446
2419.0000	100.408
2418.0000	100.48
2417.0000	100.482
2416.0000	100.521
2415.0000	100.537
2414.0000	100.52
2413.0000	100.522
2412.0000	100.522
2411.0000	100.546
2410.0000	100.475
2409.0000	100.493
2408.0000	100.467
2407.0000	100.478
2406.0000	100.429
2405.0000	100.424
2404.0000	100.439
2403.0000	100.458
2402.0000	100.467
2401.0000	100.487
2400.0000	100.505
2399.0000	100.563
2398.0000	100.568
2397.0000	100.554
2396.0000	100.545
2395.0000	100.526
2394.0000	100.553
2393.0000	100.53
2392.0000	100.528
2391.0000	100.533
2390.0000	100.464
2389.0000	100.517
2388.0000	100.573
2387.0000	100.574
2386.0000	100.614
2385.0000	100.619
2384.0000	100.673
2383.0000	100.663
2382.0000	100.683
2381.0000	100.73
2380.0000	100.642
2379.0000	100.622
