TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/20
TIME	15:13:29
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	   100.46647
MAXY	   100.92569
MINY	    99.65479
XYDATA
2500.0000	100.466
2499.0000	100.332
2498.0000	100.341
2497.0000	100.335
2496.0000	100.282
2495.0000	100.247
2494.0000	100.231
2493.0000	100.261
2492.0000	100.315
2491.0000	100.286
2490.0000	100.327
2489.0000	100.274
2488.0000	100.328
2487.0000	100.334
2486.0000	100.36
2485.0000	100.424
2484.0000	100.333
2483.0000	100.475
2482.0000	100.513
2481.0000	100.476
2480.0000	100.417
2479.0000	100.385
2478.0000	100.393
2477.0000	100.441
2476.0000	100.372
2475.0000	100.36
2474.0000	100.382
2473.0000	100.317
2472.0000	100.341
2471.0000	100.314
2470.0000	100.257
2469.0000	100.268
2468.0000	100.226
2467.0000	100.236
2466.0000	100.244
2465.0000	100.306
2464.0000	100.327
2463.0000	100.331
2462.0000	100.38
2461.0000	100.486
2460.0000	100.385
2459.0000	100.396
2458.0000	100.32
2457.0000	100.287
2456.0000	100.237
2455.0000	100.288
2454.0000	100.252
2453.0000	100.341
2452.0000	100.347
2451.0000	100.37
2450.0000	100.421
2449.0000	100.409
2448.0000	100.382
2447.0000	100.402
2446.0000	100.403
2445.0000	100.408
2444.0000	100.462
2443.0000	100.462
2442.0000	100.531
2441.0000	100.445
2440.0000	100.397
2439.0000	100.486
2438.0000	100.438
2437.0000	100.411
2436.0000	100.382
2435.0000	100.365
2434.0000	100.419
2433.0000	100.376
2432.0000	100.315
2431.0000	100.28
2430.0000	100.286
2429.0000	100.339
2428.0000	100.315
2427.0000	100.373
2426.0000	100.381
2425.0000	100.35
2424.0000	100.368
2423.0000	100.327
2422.0000	100.287
2421.0000	100.28
2420.0000	100.316
2419.0000	100.356
2418.0000	100.336
2417.0000	100.296
2416.0000	100.336
2415.0000	100.357
2414.0000	100.263
2413.0000	100.281
2412.0000	100.287
2411.0000	100.346
2410.0000	100.344
2409.0000	100.391
2408.0000	100.353
2407.0000	100.324
2406.0000	100.307
2405.0000	100.244
2404.0000	100.265
2403.0000	100.315
2402.0000	100.304
2401.0000	100.442
2400.0000	100.388
2399.0000	100.443
2398.0000	100.46
2397.0000	100.366
2396.0000	100.393
2395.0000	100.336
2394.0000	100.339
2393.0000	100.365
2392.0000	100.33
2391.0000	100.359
2390.0000	100.24
2389.0000	100.329
2388.0000	100.408
2387.0000	100.388
2386.0000	100.459
2385.0000	100.482
2384.0000	100.532
2383.0000	100.453
2382.0000	100.425
2381.0000	100.462
2380.0000	100.444
2379.0000	100.377
