TITLE	12.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:19:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    77.93438
MAXY	    81.61069
MINY	     0.00037
XYDATA
850.0000	77.9344
849.9000	77.8161
849.8000	77.6779
849.7000	77.537
849.6000	77.4033
849.5000	77.2716
849.4000	77.1207
849.3000	76.9772
849.2000	76.8373
849.1000	76.6874
849.0000	76.5498
848.9000	76.4022
848.8000	76.2471
848.7000	76.0972
848.6000	75.9491
848.5000	75.7963
848.4000	75.6439
848.3000	75.4879
848.2000	75.3408
848.1000	75.1896
848.0000	75.0465
847.9000	74.8977
847.8000	74.7591
847.7000	74.6155
847.6000	74.4586
847.5000	74.3118
847.4000	74.1621
847.3000	74.023
847.2000	73.8813
847.1000	73.7468
847.0000	73.6091
846.9000	73.4692
846.8000	73.3325
846.7000	73.1986
846.6000	73.0605
846.5000	72.9303
846.4000	72.7898
846.3000	72.6583
846.2000	72.5304
846.1000	72.3933
846.0000	72.2702
845.9000	72.1331
845.8000	72.002
845.7000	71.8776
845.6000	71.7484
845.5000	71.6202
845.4000	71.4948
845.3000	71.3707
845.2000	71.2508
845.1000	71.1331
845.0000	71.0212
844.9000	70.9059
844.8000	70.7944
844.7000	70.6884
844.6000	70.5697
844.5000	70.4687
844.4000	70.3609
844.3000	70.2738
844.2000	70.1808
844.1000	70.0842
844.0000	69.9967
843.9000	69.9073
843.8000	69.8271
843.7000	69.7441
843.6000	69.6627
843.5000	69.582
843.4000	69.5086
843.3000	69.4321
843.2000	69.3646
843.1000	69.2924
843.0000	69.2376
842.9000	69.1782
842.8000	69.124
842.7000	69.0644
842.6000	69.0187
842.5000	68.9656
842.4000	68.9201
842.3000	68.8861
842.2000	68.846
842.1000	68.8155
842.0000	68.7826
841.9000	68.7522
841.8000	68.7267
841.7000	68.7076
841.6000	68.6878
841.5000	68.6728
841.4000	68.6585
841.3000	68.6484
841.2000	68.6455
841.1000	68.6413
841.0000	68.6368
840.9000	68.6438
840.8000	68.6468
840.7000	68.6522
840.6000	68.6694
840.5000	68.683
840.4000	68.709
840.3000	68.7367
840.2000	68.7678
840.1000	68.7936
840.0000	68.8265
839.9000	68.8678
839.8000	68.9039
839.7000	68.9426
839.6000	68.9842
839.5000	69.0346
839.4000	69.0815
839.3000	69.1362
839.2000	69.1904
839.1000	69.2503
839.0000	69.3071
838.9000	69.3674
838.8000	69.4283
838.7000	69.4952
838.6000	69.558
838.5000	69.6397
838.4000	69.7172
838.3000	69.7944
838.2000	69.8813
838.1000	69.9669
838.0000	70.0545
837.9000	70.1369
