TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
850.0000	75.2793
849.9000	75.167
849.8000	75.0611
849.7000	74.939
849.6000	74.8297
849.5000	74.7184
849.4000	74.5999
849.3000	74.4852
849.2000	74.3767
849.1000	74.2626
849.0000	74.1507
848.9000	74.0399
848.8000	73.9151
848.7000	73.797
848.6000	73.6816
848.5000	73.5614
848.4000	73.4444
848.3000	73.3294
848.2000	73.2246
848.1000	73.1163
848.0000	73.0109
847.9000	72.9107
847.8000	72.8107
847.7000	72.7066
847.6000	72.5951
847.5000	72.5007
847.4000	72.3952
847.3000	72.3061
847.2000	72.2114
847.1000	72.1285
847.0000	72.0333
846.9000	71.9433
846.8000	71.8624
846.7000	71.7768
846.6000	71.6857
846.5000	71.5974
846.4000	71.5056
846.3000	71.4105
846.2000	71.3262
846.1000	71.2424
846.0000	71.1619
845.9000	71.0705
845.8000	70.9853
845.7000	70.9027
845.6000	70.8253
845.5000	70.7526
845.4000	70.6807
845.3000	70.6063
845.2000	70.5289
845.1000	70.4625
845.0000	70.3889
844.9000	70.3348
844.8000	70.2711
844.7000	70.2237
844.6000	70.1561
844.5000	70.1044
844.4000	70.0527
844.3000	70.0146
844.2000	69.9739
844.1000	69.9336
844.0000	69.8878
843.9000	69.8423
843.8000	69.803
843.7000	69.7745
843.6000	69.7499
843.5000	69.718
843.4000	69.6931
843.3000	69.6596
843.2000	69.6414
843.1000	69.6159
843.0000	69.606
842.9000	69.589
842.8000	69.5822
842.7000	69.5622
842.6000	69.5574
842.5000	69.546
842.4000	69.5461
842.3000	69.5436
842.2000	69.5488
842.1000	69.5533
842.0000	69.5595
841.9000	69.5689
841.8000	69.583
841.7000	69.604
841.6000	69.6197
841.5000	69.6343
841.4000	69.6571
841.3000	69.6837
841.2000	69.7108
841.1000	69.7403
841.0000	69.7678
840.9000	69.8015
840.8000	69.8358
840.7000	69.8752
840.6000	69.9202
840.5000	69.9622
840.4000	70.0117
840.3000	70.0602
840.2000	70.1168
840.1000	70.1644
840.0000	70.2229
839.9000	70.2821
839.8000	70.3387
839.7000	70.3916
839.6000	70.4538
839.5000	70.5213
839.4000	70.5919
839.3000	70.6638
839.2000	70.7387
839.1000	70.8147
839.0000	70.8904
838.9000	70.9636
838.8000	71.0317
838.7000	71.1161
838.6000	71.1905
838.5000	71.2839
838.4000	71.3696
838.3000	71.4606
838.2000	71.5535
838.1000	71.6524
838.0000	71.7446
837.9000	71.8331
