TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
850.0000	76.3077
849.9000	76.1763
849.8000	76.0581
849.7000	75.9464
849.6000	75.8381
849.5000	75.7318
849.4000	75.6067
849.3000	75.4937
849.2000	75.3791
849.1000	75.2612
849.0000	75.1432
848.9000	75.0203
848.8000	74.9014
848.7000	74.7841
848.6000	74.6864
848.5000	74.5695
848.4000	74.4521
848.3000	74.3305
848.2000	74.2214
848.1000	74.0989
848.0000	73.9806
847.9000	73.8516
847.8000	73.7384
847.7000	73.6213
847.6000	73.4967
847.5000	73.3785
847.4000	73.2568
847.3000	73.1396
847.2000	73.0311
847.1000	72.9102
847.0000	72.7906
846.9000	72.6813
846.8000	72.5817
846.7000	72.4795
846.6000	72.3773
846.5000	72.2822
846.4000	72.1744
846.3000	72.0787
846.2000	71.9819
846.1000	71.8843
846.0000	71.7969
845.9000	71.7037
845.8000	71.62
845.7000	71.5418
845.6000	71.4572
845.5000	71.3755
845.4000	71.2779
845.3000	71.1929
845.2000	71.1058
845.1000	71.0331
845.0000	70.949
844.9000	70.8668
844.8000	70.7991
844.7000	70.7315
844.6000	70.6581
844.5000	70.5899
844.4000	70.5166
844.3000	70.4516
844.2000	70.3843
844.1000	70.3159
844.0000	70.2569
843.9000	70.2039
843.8000	70.1559
843.7000	70.1039
843.6000	70.063
843.5000	70.0084
843.4000	69.9699
843.3000	69.9296
843.2000	69.8923
843.1000	69.8488
843.0000	69.8213
842.9000	69.7906
842.8000	69.7703
842.7000	69.7484
842.6000	69.7253
842.5000	69.7048
842.4000	69.6847
842.3000	69.6661
842.2000	69.6567
842.1000	69.6505
842.0000	69.6366
841.9000	69.6302
841.8000	69.6266
841.7000	69.6229
841.6000	69.6234
841.5000	69.6308
841.4000	69.6348
841.3000	69.6435
841.2000	69.646
841.1000	69.6634
841.0000	69.6741
840.9000	69.6831
840.8000	69.7115
840.7000	69.728
840.6000	69.7514
840.5000	69.7739
840.4000	69.8029
840.3000	69.8426
840.2000	69.8803
840.1000	69.9178
840.0000	69.9586
839.9000	70.0009
839.8000	70.0472
839.7000	70.0985
839.6000	70.1508
839.5000	70.1951
839.4000	70.2509
839.3000	70.3087
839.2000	70.3508
839.1000	70.4122
839.0000	70.4774
838.9000	70.5416
838.8000	70.6089
838.7000	70.6772
838.6000	70.7468
838.5000	70.8207
838.4000	70.893
838.3000	70.9751
838.2000	71.0521
838.1000	71.1283
838.0000	71.2124
837.9000	71.3024
