TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:05:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    71.84466
MAXY	    80.26244
MINY	    -0.14054
XYDATA
850.0000	71.8447
849.0000	70.8937
848.0000	69.7733
847.0000	69.6932
846.0000	69.007
845.0000	68.7542
844.0000	68.6367
843.0000	68.639
842.0000	69.1019
841.0000	69.8585
840.0000	70.4364
839.0000	71.59
838.0000	73.2441
837.0000	74.6536
836.0000	75.8593
835.0000	77.1384
834.0000	78.2127
833.0000	78.9872
832.0000	79.3268
831.0000	79.4176
830.0000	79.0703
829.0000	79.1114
828.0000	78.1533
827.0000	77.0791
826.0000	76.2953
825.0000	75.4563
824.0000	74.2666
823.0000	73.0797
822.0000	72.289
821.0000	71.7258
820.0000	70.8955
819.0000	70.1136
818.0000	69.6152
817.0000	69.4498
816.0000	69.5579
815.0000	70.2459
814.0000	71.0045
813.0000	71.7963
812.0000	72.92
811.0000	74.3675
810.0000	75.1671
809.0000	76.4056
808.0000	77.6153
807.0000	78.457
806.0000	79.1778
805.0000	79.6406
804.0000	79.3008
803.0000	79.2433
802.0000	78.39
801.0000	77.1713
800.0000	75.8341
799.0000	74.2204
798.0000	72.9881
797.0000	71.7174
796.0000	70.6774
795.0000	69.5951
794.0000	69.5477
793.0000	69.1085
792.0000	69.5544
791.0000	70.301
790.0000	71.1012
789.0000	72.0939
788.0000	73.1954
787.0000	74.5977
786.0000	76.1099
785.0000	77.343
784.0000	78.1365
783.0000	79.2253
782.0000	79.8656
781.0000	80.2624
780.0000	79.783
779.0000	79.1936
778.0000	78.111
777.0000	76.903
776.0000	75.7165
775.0000	74.0794
774.0000	73.0488
773.0000	71.5355
772.0000	70.679
771.0000	70.143
770.0000	69.5868
769.0000	69.8061
768.0000	70.0188
767.0000	70.8691
766.0000	71.8999
765.0000	73.2746
764.0000	74.7002
763.0000	76.1682
762.0000	77.2712
761.0000	78.0402
760.0000	78.9454
759.0000	79.4515
758.0000	79.2888
757.0000	78.8556
756.0000	78.3264
755.0000	77.5193
754.0000	76.2421
753.0000	74.7441
752.0000	73.5865
751.0000	72.2949
750.0000	71.1849
749.0000	70.1977
748.0000	69.8413
747.0000	70.022
746.0000	70.2717
745.0000	71.0291
744.0000	72.2055
743.0000	73.6183
742.0000	75.1591
741.0000	76.3612
740.0000	77.8473
739.0000	78.7194
738.0000	79.2856
737.0000	79.4342
736.0000	79.0212
735.0000	78.3029
734.0000	77.4209
733.0000	76.0415
732.0000	74.6533
731.0000	73.4181
730.0000	72.1157
729.0000	71.3418
728.0000	70.5213
