TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
850.0000	77.4943
849.9000	77.4012
849.8000	76.9879
849.7000	77.0359
849.6000	77.2141
849.5000	77.1137
849.4000	76.7583
849.3000	76.7443
849.2000	77.045
849.1000	77.0447
849.0000	77.1621
848.9000	77.1859
848.8000	77.177
848.7000	77.0907
848.6000	77.1678
848.5000	77.0809
848.4000	76.984
848.3000	77.0225
848.2000	77.3968
848.1000	77.3495
848.0000	77.2099
847.9000	77.1862
847.8000	77.4705
847.7000	77.5197
847.6000	77.5405
847.5000	77.3075
847.4000	77.2821
847.3000	77.5023
847.2000	77.6066
847.1000	77.6923
847.0000	77.6245
846.9000	77.6299
846.8000	77.7411
846.7000	77.6347
846.6000	77.4731
846.5000	77.4941
846.4000	77.5209
846.3000	77.6197
846.2000	77.3352
846.1000	77.3758
846.0000	77.1729
845.9000	77.3391
845.8000	77.2847
845.7000	76.9182
845.6000	76.791
845.5000	76.6289
845.4000	76.786
845.3000	76.717
845.2000	76.6505
845.1000	76.6167
845.0000	76.4962
844.9000	76.2603
844.8000	76.1897
844.7000	75.9471
844.6000	76.2031
844.5000	76.2341
844.4000	76.1846
844.3000	75.8811
844.2000	75.8321
844.1000	76.1844
844.0000	76.3649
843.9000	76.1743
843.8000	76.1278
843.7000	75.9784
843.6000	76.0725
843.5000	76.1869
843.4000	76.1055
843.3000	76.1863
843.2000	76.2488
843.1000	76.4485
843.0000	76.0929
842.9000	75.7797
842.8000	75.7398
842.7000	76.0676
842.6000	76.0759
842.5000	75.6849
842.4000	75.4559
842.3000	75.7817
842.2000	75.6842
842.1000	75.6971
842.0000	75.2581
841.9000	75.2846
841.8000	75.4298
841.7000	75.2633
841.6000	74.993
841.5000	74.6628
841.4000	74.8281
841.3000	75.1736
841.2000	75.177
841.1000	74.9186
841.0000	74.884
840.9000	75.0491
840.8000	75.0839
840.7000	74.7169
840.6000	74.5698
840.5000	74.5621
840.4000	74.8951
840.3000	74.8519
840.2000	74.4524
840.1000	74.3003
840.0000	74.5513
839.9000	74.812
839.8000	74.6598
839.7000	74.2705
839.6000	74.3194
839.5000	74.5447
839.4000	74.5965
839.3000	74.3283
839.2000	74.184
839.1000	74.505
839.0000	74.7006
838.9000	74.723
838.8000	74.3612
838.7000	74.2345
838.6000	74.7608
838.5000	74.9649
838.4000	74.6678
838.3000	74.496
838.2000	74.6567
838.1000	74.8823
838.0000	74.7654
837.9000	74.5771
837.8000	74.4797
