TITLE	p-GaN_(altra faccia)
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:08:42
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    77.75819
MAXY	    83.26441
MINY	    -0.13189
XYDATA
850.0000	77.7582
849.0000	76.9551
848.0000	76.0776
847.0000	75.6365
846.0000	74.5279
845.0000	74.1141
844.0000	73.6402
843.0000	73.6378
842.0000	73.8404
841.0000	73.8208
840.0000	74.133
839.0000	74.7097
838.0000	75.8179
837.0000	76.7387
836.0000	77.3146
835.0000	78.7752
834.0000	80.0908
833.0000	81.1092
832.0000	82.1411
831.0000	82.7713
830.0000	83.1009
829.0000	83.2644
828.0000	82.7618
827.0000	82.4733
826.0000	81.6642
825.0000	80.7961
824.0000	79.5505
823.0000	78.7454
822.0000	77.6984
821.0000	76.5917
820.0000	75.7794
819.0000	74.6994
818.0000	73.7147
817.0000	73.3314
816.0000	73.0576
815.0000	73.3269
814.0000	73.6738
813.0000	74.222
812.0000	75.4446
811.0000	76.53
810.0000	77.4897
809.0000	78.6365
808.0000	79.6905
807.0000	80.9878
806.0000	81.849
805.0000	82.5913
804.0000	82.9765
803.0000	83.1606
802.0000	82.8704
801.0000	82.1881
800.0000	81.3358
799.0000	80.1129
798.0000	78.7428
797.0000	77.6047
796.0000	76.333
795.0000	75.2319
794.0000	74.4607
793.0000	73.7179
792.0000	73.3999
791.0000	73.6231
790.0000	73.6904
789.0000	74.6038
788.0000	75.1979
787.0000	76.151
786.0000	77.6655
785.0000	78.7139
784.0000	79.8162
783.0000	80.968
782.0000	82.4179
781.0000	83.0704
780.0000	83.2118
779.0000	83.1945
778.0000	82.9111
777.0000	82.3072
776.0000	81.1014
775.0000	80.1376
774.0000	78.9722
773.0000	77.8096
772.0000	76.5482
771.0000	75.39
770.0000	74.5286
769.0000	73.9989
768.0000	73.9813
767.0000	74.311
766.0000	74.91
765.0000	75.8848
764.0000	76.9673
763.0000	78.0092
762.0000	79.0063
761.0000	79.9164
760.0000	81.2098
759.0000	81.9927
758.0000	82.5036
757.0000	82.6717
756.0000	82.6368
755.0000	82.2419
754.0000	81.4514
753.0000	80.3713
752.0000	79.1492
751.0000	77.7867
750.0000	76.724
749.0000	75.726
748.0000	74.7968
747.0000	74.1361
746.0000	74.0042
745.0000	74.212
744.0000	74.7292
743.0000	75.6546
742.0000	76.9173
741.0000	78.2945
740.0000	79.3291
739.0000	80.3128
738.0000	81.1875
737.0000	81.7766
736.0000	82.169
735.0000	82.1756
734.0000	81.7842
733.0000	80.9037
732.0000	80.0235
731.0000	78.929
730.0000	77.5872
729.0000	76.5035
